file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,baseline_rate_hz,n_epochs_per_size,pre_time_ms,spikes_pre_mean,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,0.666666666666667,13.3333333333333,1.08012344973464,19.6666666666667,1.08012344973464,160,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,0.666666666666667,14.6666666666667,0.408248290463863,17.3333333333333,3.2659863237109,224,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,1.33333333333333,9,3.93700393700591,17,1.22474487139159,314,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,1,12,3.53553390593274,18.6666666666667,1.63299316185545,439,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,1.33333333333333,12.6666666666667,1.63299316185545,14.6666666666667,1.08012344973464,614,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,1,12.3333333333333,1.77951304200522,14,1.22474487139159,858,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,5,SpotsMultiSize_Cell_attached_Current_clamp,6,10975,1,4273,Left,1.94444,3,500,1,13,0.707106781186547,12.6666666666667,1.08012344973464,1200,1000,1000,012926Ac12,OFF transient alpha,ventral down,chow,12,-1764,-664,VT
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0,12.3333333333333,2.94392028877595,0,0,30,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0,13,3.08220700148449,0,0,42,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
012926A,6,SpotsMultiSize_Cell_attached_Current_clamp,7,10981,1,4273,Left,0.166667,3,500,0.333333333333333,17.6666666666667,4.02077936060494,0,0,59,1000,1000,012926Ac3,F-mini-ON,ventral down,chow,3,857,38,DN
