file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-104.129174644003,9.52343400530728,-10.7408750159714,21.7742618933302,-34.9283,-60,12.8893963048941,3,-218.822177342888,12.9954280820266,-135.78329433134,21.6468593758593,500,50000,59,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-97.9446085702679,46.2519947680167,9.51945490680084,14.2186539728506,-34.9283,-60,-30.2615934763785,3,-233.93359396803,79.4205377245279,-133.763086771868,51.2824028054062,500,50000,82,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-102.543716267406,20.0717150265384,36.3825468857973,19.3496634723213,-34.9283,-60,-67.1438832160221,3,-237.428152784299,31.4912053554407,-136.785333740402,14.9487035006312,500,50000,115,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-164.055636041114,24.4683854085401,11.1410868986454,31.2191684334185,-34.9283,-60,-52.674348512736,3,-603.34011518374,265.989240302479,-185.225314110822,32.4064827983283,500,50000,160,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-138.335676192413,18.1995256394145,21.8505240056675,22.4985935824651,-34.9283,-60,-79.8101052924547,3,-377.740935791129,35.1771244488283,-150.564583432698,30.5704732430125,500,50000,224,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-220.339925696427,40.7275430402734,-42.4722967466454,15.517344531617,-34.9283,-60,-9.60922624603669,3,-627.784114540912,229.849670015341,-245.392418443973,35.2486991983822,500,50000,314,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-185.256042121549,63.4271306470996,-49.2798336624556,40.2085605384069,-34.9283,-60,-44.1300343125289,3,-607.278077175584,289.818907662122,-211.53311226327,72.9697408360155,500,50000,439,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-159.577206903703,22.7553092512489,-4.34729578632847,50.0568814403686,-34.9283,-60,-81.6993156414172,3,-406.036901226748,123.905796973709,-207.627883472915,36.4425070962758,500,50000,614,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-208.575694430104,44.0829312460371,-78.638759980743,8.90429523069192,-34.9283,-60,13.876933147267,3,-490.345169537274,118.231264932779,-270.768501987879,49.4264321491601,500,50000,858,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
021026A,4,SpotsMultiSize_Whole_cell_Current_clamp_Exc,2,11082,1,4277,Left,-171.288255314891,18.4899969163297,-42.4096001273002,43.9342181690986,-34.9283,-60,-11.9707305984354,3,-438.595940209744,123.868552613241,-211.204894926081,12.1982119668114,500,50000,1200,1000,1000,021026Ac11,ON alpha,ventral down,HFD,11,-676,563,DT
