file_name,dataset_name,source_id,cell_unid,animal_id,side,depol_overshoot_max,pre_time_ms,sag_amplitude,stim_time_ms,vrest,cell_name,cell_type,feeding_condition,x,y,quadrant,capacitance_mean,current_max_number_of_spike_max,depol_overshoot_mean,first_ap_peak_amplitude_mean,first_ap_trough_amplitude_mean,first_current_level_to_block_mean,half_max_spike_current_mean,half_max_spike_number_mean,half_width_time_mean,isi_cv_at_max_spikes_mean,max_adaptation_index_max,max_ahp_after_depol_injection_max,max_isi_cv_max,max_latency_of_spike_max,max_number_of_spike_max,max_slope_max,resistance_mean,resting_vm_mean,sag_mean,spontaneous_firing_rate_mean,tau_mean,v_threshold_mean
020326B,MultiPulse_Whole_cell_CC_2,15,11023,4276,Right,46.166,500,8.63397,500,-57.4732,020326Bc9,OFF horizontal OS - symmetric,HFD,818,100,DT,7.63322499523223,223.929,23.6231393281211,-2.54010319739922,-57.2755982364386,201.666666666667,75.6354259259259,31,0,0.315645281181722,0.459033027265715,-1.97655399476928,1.37087286920313,149.68,65,46.7136384749399,144.42570903426,-57.4731786860418,NaN,0,11.0128412233334,-56.2339377992398
020326B,MultiPulse_Whole_cell_CC_2,17,11027,4276,Right,48.26,500,4.44585,500,-59.616,020326Bc13,ON alpha,HFD,690,380,DT,6182.90387407026,500,10.3371370484404,4.67634824460082,-60.2717143605113,258.974,371.52275,17.3333333333333,0,0.450066220004116,0.28110599078341,-5.61185564135084,0.970162957105034,13.78,35,35.4379328213003,46.4263729114048,-59.6160117164739,NaN,0,2866.83199723995,-59.7992085894117
020326B,MultiPulse_Whole_cell_CC_Short,6,11028,4276,Right,58.3115,500,19.5553,500,-43.1444,020326Bc14,OFF sustained alpha,HFD,679,437,DT,2903.81888166809,69.5132,43.8914880647552,7.307346199883,-44.4320326529581,124.764,30.2185266666667,29.6666666666667,0.58,0.164978005469661,0.173940913397232,-15.2373254696992,2.25554118658292,20.04,40,206.184323079175,155.515614522119,-43.1443658113715,NaN,38.6666666666667,4515.89177843547,-43.3688947183642
020326B,MultiPulse_Whole_cell_CC_Short,8,11021,4276,Right,45.6827,500,10.277,500,-40.1324,020326Bc7,OFF sustained alpha,HFD,605,-18,VT,174079.428115196,38.7298,39.4671159418846,-2.16424636493479,-44.5608978573179,69.5132,8.21559,20,0.76,0.265808709246342,0.105649122148025,-14.4477642741422,1.15487304166037,18.24,23,86.984011123775,75.2891640000872,-40.1324033509575,NaN,34,131062.946124064,-42.499054591827
021026A,MultiPulse_Whole_cell_Voltage_clamp,7,11089,4277,Left,57.8996,500,13.8792,500,-47.3579,021026Ac18,ON alpha,HFD,-1377,-159,VT,14068.8640195268,359.843,49.4905474226214,4.47823662474782,-49.2458367804209,668.315826666667,133.409432222222,24.6666666666667,0.653333333333333,0.639335047451568,0.226977207862398,-12.9119773212943,1.2057493338468,106.54,45,167.45162861942,72.2746280560461,-47.3578714206899,NaN,13.3333333333333,10208.5014839215,-38.4473477268172
021026A,MultiPulse_Whole_cell_Voltage_clamp,9,11099,4277,Left,60.5402,500,5.89302,500,-59.8727,021026Ac8,ON transient medium RF,HFD,-415,339,DT,35.2467161311125,300,41.4442867508245,2.42802823077764,-58.0155857136372,16.672,145.542957486772,26.9555555555556,0.453333333333333,0.27900792687796,0.790407673860911,-3.39692140277366,1.55852693218189,413.58,59,301.09096125358,83.4757019541964,-59.872742315442,NaN,0.488888888888889,29.2581963633078,-58.6274288094356
021026A,MultiPulse_Whole_cell_Voltage_clamp,10,11092,4277,Left,62.8266,500,11.3996,500,-50.9518,021026Ac20,ON alpha,HFD,-1788,-255,VT,12780.1218816435,500,53.2088327057406,7.35496869105847,-56.5020793663198,999,218.289115584416,38.9444444444444,0.62,0.252734688886287,0.0702649940903853,-14.3694065415933,1.10319389848961,80.42,68,199.653852085896,68.4734210442459,-50.9517864414159,NaN,26.4444444444444,8984.88176379658,-44.7267869494118
021026A,MultiPulse_Whole_cell_Voltage_clamp,20,11100,4277,Left,65.2417,500,4.79814,500,-58.5905,021026Ac9,ON DS sustained - dorsonasal,HFD,-428,317,DT,3943.2914115879,223.929,48.3140912062631,11.0045539131998,-51.3604516892101,339.240416666667,78.4166657037037,27.1333333333333,0.646666666666667,0.206675074598219,0.609518318570156,-1.9496273014182,1.03722767795046,350.16,57,241.516765323276,196.692900574821,-58.5904626067283,NaN,0.533333333333333,7892.40042262804,-57.1139223924841
021026B,MultiPulse_CC_Whole_cell,9,11108,4277,Right,64.4648,500,14.304,500,-50.8388,021026Bc3,ON vertical OS large RF,HFD,876,519,DT,7569.97978896444,223.929,52.5705595969063,7.19995853606457,-54.1076618760244,999,73.2901044444445,28.1444444444444,0.846666666666667,0.220307149493734,0.153397893223096,-9.673568968293,1.58575170476953,123.6,54,209.405952263675,124.010740641047,-50.838809962481,NaN,17.2444444444444,9365.78915727613,-48.5235029546044
021026B,MultiPulse_Whole_cell_CC,3,11110,4277,Right,59.9545,500,19.5231,500,-55.6645,021026Bc5,ON DS sustained - dorsonasal,HFD,823,474,DT,1691.41188408292,300,48.9451518142798,7.1784810053657,-56.0728562898839,11.0065033333333,132.44043994709,38.8444444444444,0.24,0.133743287984321,0.0809064320745973,-10.0398960583809,0.750701081824145,111.64,79,164.303131824265,87.7661389287603,-55.6645175664633,NaN,0.0444444444444444,1528.9102164316,-56.1265501233937
