inj_current,fr_per_current_mean,fr_per_current_sem,cell_type,cell_name,cell_unid,dataset_name,file_name,source_id
-18.0,0.0,0.0,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
18.0,0.0,0.0,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
55.0,7.6,2.7748873851023217,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
91.0,19.2,2.9664793948382653,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
127.0,25.2,2.9664793948382653,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
164.0,28.8,4.159326868617084,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
200.0,31.6,3.96232255123179,F-mini-OFF,011423Ac12,6896,MultiPulse,011423A,3
-200.0,0.0,0.0,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
-164.0,0.0,0.0,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
-127.0,0.0,0.0,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
-91.0,0.0,0.0,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
-55.0,0.0,0.0,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
-18.0,0.0,0.0,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
18.0,1.6,1.0954451150103324,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
55.0,31.2,3.5777087639996634,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
91.0,54.8,2.0736441353327724,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
127.0,54.4,11.077003204838391,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
164.0,51.2,4.827007354458868,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
200.0,40.8,4.03732584763727,F-mini-ON,011423Ac9,6899,MultiPulse,011423A,6
-200.0,0.0,0.0,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
-164.0,0.0,0.0,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
-127.0,0.0,0.0,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
-91.0,0.0,0.0,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
-55.0,0.0,0.0,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
-18.0,0.0,0.0,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
18.0,0.8,0.5477225575051662,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
55.0,35.6,1.6431676725154982,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
91.0,43.6,3.8340579025361627,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
127.0,46.8,3.7815340802378077,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
164.0,41.6,5.06951674225463,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
200.0,39.6,3.271085446759225,F-mini-ON,011423Ac8,6902,MultiPulse,011423A,9
-200.0,0.0,0.0,HD1,011423Ac7,6906,MultiPulse,011423A,13
-164.0,0.0,0.0,HD1,011423Ac7,6906,MultiPulse,011423A,13
-127.0,0.0,0.0,HD1,011423Ac7,6906,MultiPulse,011423A,13
-91.0,0.0,0.0,HD1,011423Ac7,6906,MultiPulse,011423A,13
-55.0,0.0,0.0,HD1,011423Ac7,6906,MultiPulse,011423A,13
-18.0,0.0,0.0,HD1,011423Ac7,6906,MultiPulse,011423A,13
18.0,11.6,1.6431676725154984,HD1,011423Ac7,6906,MultiPulse,011423A,13
55.0,50.4,0.8366600265340756,HD1,011423Ac7,6906,MultiPulse,011423A,13
91.0,73.6,0.8366600265340756,HD1,011423Ac7,6906,MultiPulse,011423A,13
127.0,93.6,1.9235384061671343,HD1,011423Ac7,6906,MultiPulse,011423A,13
164.0,110.0,2.23606797749979,HD1,011423Ac7,6906,MultiPulse,011423A,13
200.0,123.2,2.073644135332772,HD1,011423Ac7,6906,MultiPulse,011423A,13
-200.0,0.0,0.0,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
-164.0,0.0,0.0,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
-127.0,0.0,0.0,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
-91.0,0.0,0.0,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
-55.0,0.0,0.0,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
-18.0,0.0,0.0,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
18.0,0.8,0.8944271909999161,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
55.0,18.0,1.0,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
91.0,36.0,2.5495097567963922,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
127.0,37.2,3.209361307176242,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
164.0,35.2,1.51657508881031,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
200.0,34.8,1.5165750888103102,F-mini-OFF,011423Ac10,6907,MultiPulse,011423A,14
-200.0,0.0,0.0,HD2,011423Ac3,6908,MultiPulse,011423A,15
-164.0,0.0,0.0,HD2,011423Ac3,6908,MultiPulse,011423A,15
-127.0,0.0,0.0,HD2,011423Ac3,6908,MultiPulse,011423A,15
-91.0,0.0,0.0,HD2,011423Ac3,6908,MultiPulse,011423A,15
-55.0,0.0,0.0,HD2,011423Ac3,6908,MultiPulse,011423A,15
-18.0,0.0,0.0,HD2,011423Ac3,6908,MultiPulse,011423A,15
18.0,0.8,0.5477225575051662,HD2,011423Ac3,6908,MultiPulse,011423A,15
55.0,29.2,1.1401754250991378,HD2,011423Ac3,6908,MultiPulse,011423A,15
91.0,55.2,1.3416407864998738,HD2,011423Ac3,6908,MultiPulse,011423A,15
127.0,76.4,1.9235384061671343,HD2,011423Ac3,6908,MultiPulse,011423A,15
164.0,98.4,0.8366600265340756,HD2,011423Ac3,6908,MultiPulse,011423A,15
200.0,113.6,1.6431676725154982,HD2,011423Ac3,6908,MultiPulse,011423A,15
-300.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-224.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-167.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-125.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-93.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-70.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-52.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-39.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-29.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-22.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-16.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-12.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-9.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-7.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
-5.0,0.0,0.0,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
5.0,5.333333333333333,4.320493798938574,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
7.0,4.0,1.414213562373095,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
9.0,6.0,4.242640687119285,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
12.0,4.666666666666667,4.546060565661952,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
16.0,12.0,2.82842712474619,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
22.0,16.666666666666668,2.9439202887759492,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
29.0,24.666666666666668,0.8164965809277259,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
39.0,28.666666666666668,0.8164965809277259,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
52.0,36.666666666666664,1.6329931618554518,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
70.0,48.0,3.7416573867739413,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
93.0,56.666666666666664,0.816496580927726,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
125.0,69.33333333333333,0.816496580927726,M6,011625Bc3,10456,MultiPulse_Whole_cell_Voltage_clamp,011625B,9
